# ID	Clay	Silt	Sand	bulk_density	OM_content	CEC	pH	k_sat	WC_pF1.0	WC_pF1.5	WC_pF2.0	WC_pF2.3	WC_pF2.7	WC_pF3.5	WC_pF4.2
2215	0.03	0.01	0.96	1.787	-999	2	4.2	301	0.085	0.085	0.085	-999	-999	-999	-999
2216	0.03	0.01	0.96	1.727	-999	2	4.2	-999	0.0875	0.0875	0.08	-999	-999	-999	-999
2217	0.03	0.01	0.96	1.697	-999	2	4.2	530	0.075	0.075	0.06	-999	-999	-999	-999
2320	0.15	0.106666667	0.743333333	1.8	3.2	-999	-999	10	0.254	0.2475	0.23	0.23	-999	-999	-999
2321	0.2	0.08	0.72	1.74	3.1	-999	-999	5	0.314	0.3075	0.295	0.295	-999	-999	-999
2340	0.49	0.073333333	0.436666667	1.1	5.45	-999	6.8	87	0.428	0.4175	0.39	0.39	-999	-999	-999
2341	0.3	0.08	0.62	1.54	0.49	-999	6.8	21	0.32	0.31	0.285	0.285	-999	-999	-999
2342	0	0.003333333	0.996666667	1.6	0.29	-999	6.7	80	0.158	0.1275	0.095	0.095	-999	-999	-999
2350	0.45	0.08	0.47	1.18	14.48	-999	7.5	8	0.486	0.4775	0.465	0.465	-999	-999	-999
2351	0.16	0.163333333	0.676666667	1.39	7.31	-999	7.4	1	0.418	0.4125	0.39	0.39	-999	-999	-999
2360	0.45	0.11	0.44	1.42	4.86	-999	6.9	5	0.396363636	0.389	0.3725	0.3725	0.356666667	0.333333333	-999
2361	0.57	0.153333333	0.276666667	1.25	2.5	-999	6.8	2	0.473636364	0.467	0.45	0.45	0.435	0.403333333	-999
2362	0.63	0.15	0.22	1.25	2.15	-999	6.7	0.4	0.501818182	0.497	0.485	0.485	0.468333333	0.433333333	-999
2370	0.23	0.095	0.675	1.18	-999	-999	-999	-999	0.311428571	0.295833333	0.257142857	0.19	0.17	-999	-999
2371	0.24	0.1	0.66	1.43	-999	-999	-999	-999	0.236923077	0.228333333	0.2	0.155	0.11	-999	-999
2372	0.26	0.06	0.68	1.41	-999	-999	-999	-999	0.139230769	0.125833333	0.104285714	0.07	0.04	-999	-999
2373	0.14	0.01	0.85	1.35	-999	-999	-999	-999	0.176	0.1575	0.137142857	0.11	0.1	-999	-999
2374	0.19	0.03	0.78	1.25	-999	-999	-999	-999	0.209411765	0.202	0.177142857	0.105	0.1	-999	-999
2380	0.08	0.085	0.835	1.33	-999	-999	-999	-999	0.228181818	0.197777778	0.162	0.153333333	-999	-999	-999
2381	0.1	0.105	0.795	1.44	-999	-999	-999	-999	0.211818182	0.185555556	0.154	0.143333333	-999	-999	-999
2382	0.14	0.15	0.71	1.45	-999	-999	-999	-999	0.172142857	0.136363636	0.094	0.086666667	-999	-999	-999
2383	0.07	0.08	0.85	1.47	-999	-999	-999	-999	0.123571429	0.07	0.038	0.036666667	-999	-999	-999
2384	0.01	0.03	0.96	1.46	-999	-999	-999	-999	0.155714286	0.11	0.07	0.066666667	-999	-999	-999
2385	0.01	0.03	0.96	1.46	-999	-999	-999	-999	0.193571429	0.144545455	0.082	0.08	-999	-999	-999
2390	0.31	0.135	0.555	1.3	-999	-999	-999	-999	0.361818182	0.347777778	0.32	-999	-999	-999	-999
2391	0.33	0.165	0.505	1.3	-999	-999	-999	-999	0.323636364	0.308888889	0.284	-999	-999	-999	-999
2392	0.35	0.225	0.425	1.31	-999	-999	-999	-999	0.324545455	0.311111111	0.29	-999	-999	-999	-999
2393	0.28	0.14	0.58	1.54	-999	-999	-999	-999	0.205454545	0.178888889	0.132	-999	-999	-999	-999
2394	0.23	0.065	0.705	1.52	-999	-999	-999	-999	0.21	0.182222222	0.132	-999	-999	-999	-999
2395	0.28	0.12	0.6	1.5	-999	-999	-999	-999	0.317272727	0.298888889	0.244	-999	-999	-999	-999
2400	0.16	0.19	0.65	1.08	-999	-999	-999	-999	0.347333333	0.335384615	0.311111111	0.285	-999	-999	-999
2401	0.17	0.2	0.63	1.25	-999	-999	-999	-999	0.291333333	0.278461538	0.257777778	0.2375	-999	-999	-999
2402	0.25	0.23	0.52	1.31	-999	-999	-999	-999	0.31125	0.298571429	0.279	0.26	-999	-999	-999
2403	0.11	0.16	0.73	1.32	-999	-999	-999	-999	0.3475	0.337857143	0.317	0.282	-999	-999	-999
2404	0.05	0.275	0.675	1.41	-999	-999	-999	-999	0.41125	0.405	0.391	0.364	-999	-999	-999
2405	0.05	0.275	0.675	1.41	-999	-999	-999	-999	0.365625	0.353571429	0.321	0.242	-999	-999	-999
2410	0.18	0.13	0.69	1.2	-999	-999	-999	-999	0.319166667	0.302	0.268333333	0.25	-999	-999	-999
2411	0.21	0.125	0.665	1.5	-999	-999	-999	-999	0.323333333	0.313	0.291666667	0.28	-999	-999	-999
2412	0.28	0.125	0.595	1.4	-999	-999	-999	-999	0.307	0.2925	0.265	-999	-999	-999	-999
2413	0.07	0.085	0.845	1.52	-999	-999	-999	-999	0.324444444	0.307142857	0.246666667	-999	-999	-999	-999
2414	0.04	0.15	0.81	1.43	-999	-999	-999	-999	0.384	0.373333333	-999	-999	-999	-999	-999
2415	0.04	0.15	0.81	1.43	-999	-999	-999	-999	0.418333333	0.4125	-999	-999	-999	-999	-999
2420	0.08	0.055	0.865	1.47	-999	-999	-999	-999	0.24	0.221333333	0.187777778	0.178	-999	-999	-999
2421	0.08	0.06	0.86	1.47	-999	-999	-999	-999	0.197647059	0.180666667	0.147777778	0.138	-999	-999	-999
2422	0.06	0.035	0.905	1.4	-999	-999	-999	-999	0.159411765	0.135333333	0.108888889	0.104	-999	-999	-999
2423	0.06	0.025	0.915	1.44	-999	-999	-999	-999	0.196470588	0.179333333	0.144444444	0.136	-999	-999	-999
2424	0.03	0.02	0.95	1.46	-999	-999	-999	-999	0.181764706	0.159333333	0.111111111	0.104	-999	-999	-999
2425	0.03	0.02	0.95	1.46	-999	-999	-999	-999	0.165294118	0.141333333	0.092222222	0.084	-999	-999	-999
2430	0.31	0.185	0.505	1.34	-999	-999	-999	-999	0.349090909	0.334444444	0.312	-999	-999	-999	-999
2431	0.34	0.215	0.445	1.34	-999	-999	-999	-999	0.336363636	0.322222222	0.302	-999	-999	-999	-999
2432	0.42	0.185	0.395	1.46	-999	-999	-999	-999	0.299090909	0.287777778	0.272	-999	-999	-999	-999
2433	0.34	0.175	0.485	1.59	-999	-999	-999	-999	0.28	0.271	0.252	-999	-999	-999	-999
2434	0.24	0.115	0.645	1.74	-999	-999	-999	-999	0.255	0.247	0.224	-999	-999	-999	-999
2435	0.24	0.095	0.665	1.56	-999	-999	-999	-999	0.228333333	0.214	0.19	-999	-999	-999	-999
2440	0.09	0.085	0.825	1.3	-999	-999	-999	-999	0.301818182	0.288888889	0.262	-999	-999	-999	-999
2441	0.15	0.075	0.775	1.47	-999	-999	-999	-999	0.241818182	0.221111111	0.19	-999	-999	-999	-999
2442	0.13	0.025	0.845	1.48	-999	-999	-999	-999	0.120909091	0.088888889	0.076	-999	-999	-999	-999
2443	0.11	0.015	0.875	1.53	-999	-999	-999	-999	0.129090909	0.087777778	0.068	-999	-999	-999	-999
2444	0.11	0.005	0.885	1.41	-999	-999	-999	-999	0.143636364	0.102222222	0.09	-999	-999	-999	-999
2445	0.11	0.005	0.885	1.27	-999	-999	-999	-999	0.152727273	0.125555556	0.12	-999	-999	-999	-999
2450	0.16	0.195	0.645	1.11	-999	-999	-999	-999	0.413	0.405555556	0.38	0.36	-999	-999	-999
2451	0.19	0.105	0.705	1.59	-999	-999	-999	-999	0.379	0.373333333	0.356	0.34	-999	-999	-999
2452	0.24	0.115	0.645	1.14	-999	-999	-999	-999	0.388888889	0.38	0.3575	-999	-999	-999	-999
2453	0.22	0.135	0.645	1.2	-999	-999	-999	-999	0.38	0.37375	0.3625	-999	-999	-999	-999
2454	0.17	0.125	0.705	1.31	-999	-999	-999	-999	0.347777778	0.34375	0.335	-999	-999	-999	-999
2455	0.17	0.125	0.705	1.33	-999	-999	-999	-999	0.34	0.33625	0.3275	-999	-999	-999	-999
2460	0.38	0.295	0.325	0.769	10.32	-999	5.7	-999	0.468333333	0.468333333	0.4	0.4	0.36	0.29	-999
2461	0.38	0.295	0.325	0.913	6.36	-999	5.7	-999	0.45	0.45	0.4	0.4	0.366666667	0.3	-999
2462	0.38	0.295	0.325	0.925	5.68	-999	6.3	-999	0.416666667	0.416666667	0.37	0.37	0.346666667	0.28	-999
2470	0.38	0.295	0.325	0.702	-999	-999	-999	-999	0.438333333	0.438333333	0.385	0.385	0.353333333	0.29	-999
2471	0.38	0.295	0.325	0.872	-999	-999	-999	-999	0.415	0.415	0.375	0.375	0.35	0.29	-999
2472	0.38	0.295	0.325	0.897	-999	-999	-999	-999	0.408333333	0.408333333	0.37	0.37	0.35	0.3	-999
